"Frage","Antwort"
"Wie kann ich meine Bestellung verfolgen?","Sie erhalten eine E-Mail mit einem Tracking-Link, sobald Ihre Bestellung an den Versanddienstleister übergeben wurde."
"Welche Zahlungsmethoden werden akzeptiert?","Wir akzeptieren alle gängigen Kreditkarten, PayPal, Apple Pay, Google Pay sowie den Kauf auf Rechnung."
"Wie lange dauert der Versand?","Der Standardversand dauert in der Regel 2 bis 4 Werktage innerhalb Deutschlands."
"Kann ich meine Bestellung nachträglich ändern?","Solange die Bestellung noch nicht verpackt wurde, können Sie sich an unseren Kundenservice wenden, um Änderungen vorzunehmen."
"Wie funktioniert die Rückgabe?","Sie haben 30 Tage Zeit, Artikel kostenlos an uns zurückzusenden. Nutzen Sie dafür einfach das beiliegende Retourenetikett."
"Wann erhalte ich meine Rückerstattung?","Die Rückerstattung erfolgt in der Regel innerhalb von 5 bis 7 Werktagen nach Eingang und Prüfung Ihrer Retoure."
"Liefern Sie auch ins Ausland?","Ja, wir liefern in die gesamte EU sowie in die Schweiz. Die genauen Versandkosten werden im Checkout berechnet."
"Was mache ich, wenn ein Artikel defekt geliefert wird?","Bitte kontaktieren Sie umgehend unseren Kundenservice mit Ihrer Bestellnummer und einem Foto des Defekts, damit wir einen Austausch veranlassen können."
"Muss ich ein Kundenkonto anlegen, um zu bestellen?","Nein, das ist nicht zwingend erforderlich. Sie können auch bequem als Gast bestellen."
"Gibt es einen Mindestbestellwert?","Nein, es gibt keinen Mindestbestellwert. Ab einem Bestellwert von 50 Euro übernehmen wir jedoch die Versandkosten für Sie."
